"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2000","2000","PER","Persons","0","Units",,,32794903,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2001","2001","PER","Persons","0","Units",,,32984640,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2002","2002","PER","Persons","0","Units",,,33177541,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2003","2003","PER","Persons","0","Units",,,33373653,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2004","2004","PER","Persons","0","Units",,,33573037,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2005","2005","PER","Persons","0","Units",,,33775770,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2006","2006","PER","Persons","0","Units",,,34008234,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2007","2007","PER","Persons","0","Units",,,34243874,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2008","2008","PER","Persons","0","Units",,,34482742,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2009","2009","PER","Persons","0","Units",,,34724910,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2010","2010","PER","Persons","0","Units",,,34970411,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2011","2011","PER","Persons","0","Units",,,35204263,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2012","2012","PER","Persons","0","Units",,,35441287,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2013","2013","PER","Persons","0","Units",,,35681545,,
"JP030","Tokyo","POP","Total population of the metropolitan area (persons)","2014","2014","PER","Persons","0","Units",,,35925101,,
